solution 1733 [ fit.: 0.684335, part.: (0.664886, 0.692849, 0.695270, ), spec.: 0, adj.fit.: 0.006843, age: 0, parents (1683, 1686), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1734 [ fit.: 0.684154, part.: (0.664461, 0.691787, 0.696213, ), spec.: 0, adj.fit.: 0.006842, age: 0, parents (1658, 1639), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1735 [ fit.: 0.680490, part.: (0.664062, 0.687523, 0.689884, ), spec.: 0, adj.fit.: 0.006805, age: 0, parents (1627, 1693), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1736 [ fit.: 0.681871, part.: (0.663506, 0.689837, 0.692269, ), spec.: 0, adj.fit.: 0.006819, age: 0, parents (1669, 1630), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1737 [ fit.: 0.683628, part.: (0.664203, 0.692596, 0.694084, ), spec.: 0, adj.fit.: 0.006836, age: 0, parents (1669, 1640), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1738 [ fit.: 0.684331, part.: (0.664461, 0.693342, 0.695190, ), spec.: 0, adj.fit.: 0.006843, age: 0, parents (1640, 1661), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1739 [ fit.: 0.684395, part.: (0.664154, 0.692580, 0.696451, ), spec.: 0, adj.fit.: 0.006844, age: 0, parents (1631, 1605), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1740 [ fit.: 0.682009, part.: (0.664542, 0.689152, 0.692333, ), spec.: 0, adj.fit.: 0.006820, age: 0, parents (1683, 1616), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1741 [ fit.: 0.684193, part.: (0.664332, 0.692155, 0.696092, ), spec.: 0, adj.fit.: 0.006842, age: 0, parents (1604, 1693), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1742 [ fit.: 0.684313, part.: (0.664230, 0.693156, 0.695554, ), spec.: 0, adj.fit.: 0.006843, age: 0, parents (1632, 1635), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
